Overview,概览,概要,개요,Présentation,Überblick,Panoramica,Descripción general,Visão geral
Product details,产品详情,製品の詳細,제품 상세 정보,Détails du produit,Produktdetails,Dettagli del prodotto,Detalles del producto,Detalhes da solução
Any cloud.,任何云。,あらゆるクラウドに。,모든 클라우드.,Tous les clouds.,Many clouds.,Per tutti i cloud,Cualquier nube.,Todas as clouds.
Any workload.,任意工作负载。,あらゆるワークロードに。,모든 워크로드.,Toutes les charges de travail.,Many workloads.,"e per tutti i carichi di lavoro,",Cualquier carga de trabajo.,Todas as cargas de trabalho.
One OS.,一个操作系统就够了 。,ひとつの OS。,하나의 OS.,Un seul système d'exploitation.,One OS.,c'è un unico sistema operativo.,Un solo sistema operativo.,Um único sistema operacional.
Red Hat Enterprise Linux 8 is here.,红帽企业 Linux 8 闪耀登场。,Red Hat Enterprise Linux 8、登場。,Red Hat Enterprise Linux 8을 공개합니다.,Red Hat Enterprise Linux 8 est enfin disponible.,Red Hat Enterprise Linux 8 ist da.,Red Hat Enterprise Linux 8 è arrivato.,Red Hat Enterprise Linux 8 ya está aquí.,O Red Hat Enterprise Linux 8 já está disponível!
The intelligent OS for hybrid cloud.,混合云智能操作系统。,ハイブリッドクラウドのためのインテリジェント OS,하이브리드 클라우드를 위한 지능형 OS,Un système d'exploitation intelligent pour le cloud hybride,Das intelligente Betriebssystem für die Hybrid Cloud,Il sistema operativo pensato per il cloud ibrido.,El sistema operativo inteligente para nubes híbridas,O sistema operacional inteligente para a cloud híbrida
Modern IT is hybrid IT.  But turning a sprawling ecosystem―from traditional datacenters to public cloud services―into a true hybrid environment requires a few things. Scaling as needed. Moving workloads seamlessly. Developing and managing applications that run anywhere. There’s an operating system that makes those things possible. And now it gives you predictive analytics and remediation. That’s Red Hat® Enterprise Linux® 8.,现代化 IT 即混合 IT。但是，如果想要将传统数据中心到公共云服务的庞大生态系统打造成真正的混合环境，还需要满足一些要求。比如按需扩展。无缝迁移工作负载。开发和管理可随处运行的应用。只需一个操作系统就可以让这一切成为现实。而且现在这个操作系统可以支持预测分析和补救功能。这便是红帽® 企业 Linux® 8。,先進的 IT とは、ハイブリッド IT です。しかし、従来型データセンターであれパブリッククラウド・サービスであれ、無秩序に広がってしまったエコシステムを真のハイブリッド環境へと生まれ変わらせるためには、いくつか必要な要素があります。必要に応じたスケーリング。ワークロードのシームレスな移動。そして、あらゆる場所で実行可能なアプリケーションの開発と管理。これらを可能にするオペレーティングシステムに、予測分析と問題対処の機能が追加されました。それが Red Hat® Enterprise Linux® 8 です。,"현대화된 IT 환경은 하이브리드 IT로 이루어집니다.  그러나 전통적인 데이터센터에서 퍼블릭 클라우드 서비스로 확산되고 있는 에코시스템을 진정한 하이브리드 환경으로 만들기 위해서는 몇 가지 요소가 필요합니다. 필요에 따라 확장할 수 있고, 워크로드의 원활한 이동을 지원하며, 모든 환경에서 애플리케이션이 실행되도록 개발하고 관리할 수 있어야 합니다. 이 모든 요소를 수행하고 예측 분석과 문제 해결을 지원하는 운영 체제가 있습니다. 바로 Red Hat® Enterprise Linux® 8입니다.","Aujourd'hui, l'informatique est hybride.  Toutefois, pour transformer un écosystème hétérogène (datacenters classiques, services de cloud public, etc.) en véritable environnement hybride, vous devez pouvoir compter sur une évolutivité à la demande, des charges de travail faciles à migrer et une solution pour développer et gérer des applications qui s'exécutent partout. Il existe un système d'exploitation qui peut vous offrir tous ces avantages et plus encore, car il fournit désormais des analyses prédictives et des mesures de correction. Ce système, c'est Red Hat® Enterprise Linux® 8.","Die moderne IT ist hybrid.  Wenn Sie allerdings ein weit verzweigtes IT-System, von traditionellen Rechenzentren bis hin zu Public Cloud Services, in eine echte hybride Umgebung verwandeln möchten, müssen gewisse Anforderungen erfüllt sein. Wie das Skalieren nach Bedarf. Das nahtlose Verschieben von Workloads. Das Entwickeln und Verwalten von Anwendungen, die sich überall ausführen lassen. Es gibt ein Betriebssystem, mit dem das alles möglich ist. Und jetzt bietet es Ihnen auch noch Predictive Analytics und Problembehebung: Red Hat® Enterprise Linux® 8.","Per essere innovativo, l'IT deve essere ibrido,  ma per trasformare un ecosistema IT in costante espansione - dai datacenter tradizionali ai servizi di cloud pubblico - in un vero e proprio ambiente ibrido è necessario garantire: scalabilità in base alle esigenze, agilità nel trasferimento dei carichi di lavoro, sviluppo e gestione di applicazioni eseguibili ovunque. Esiste un sistema operativo che rende possibile tutto questo ed offre inoltre funzionalità di analisi predittiva consentendo di intervenire in modo preventivo. È Red Hat® Enterprise Linux® 8.","La TI moderna representa la TI híbrida.  Sin embargo, hay algunos requisitos para poder convertir un ecosistema en expansión, desde los centros de datos tradicionales hasta los servicios de nube pública, en un entorno realmente híbrido. Escala de acuerdo a la necesidades. Movilidad de cargas de trabajo sin complicaciones Desarrollo y gestión de aplicaciones que funcionan en todas partes. Red Hat® Enterprise Linux® 8 es el sistema operativo (OS) que permite cumplir con estos requisitos, y ahora ofrece análisis predictivo y corrección.","A TI moderna é híbrida.  No entanto, é importante ter uma base que permita transformar um ecossistema diverso (que inclui desde datacenters tradicionais a serviços de cloud pública) em um ambiente híbrido. Escalabilidade conforme o necessário. Migração simples de cargas de trabalho. Desenvolvimento e gerenciamento de aplicações que podem ser executadas em qualquer ambiente. Existe um sistema operacional que torna tudo isso possível. E agora ele também oferece análises preditivas e correções. Conheça o Red Hat® Enterprise Linux® 8."
Because what you do today sets the stage for what you can do tomorrow.,因为您现在付诸的行动将会是未来成功的基石。,今日の行動が、明日をひらく。,혁신을 위한 오늘의 노력은 내일의 성과를 위한 기반이 됩니다.,Les choix que vous effectuez aujourd'hui sont importants. Ce sont eux qui déterminent l'avenir de votre entreprise.,"Denn mit dem, was Sie heute tun, legen Sie den Grundstein für morgen",Poni oggi le giuste basi per i tuoi progetti futuri.,Porque lo que hace hoy prepara el camino hacia el futuro.,Porque o que você faz hoje determinará as suas possibilidades amanhã.
Created for innovators,为创新者而生,イノベーターのための OS,이노베이터를 위해 구축,Conçu pour les esprits novateurs,Geschaffen für Innovatoren,Creato per gli innovatori,Creado para los innovadores,Desenvolvido para inovadores
Cutting edge meets enterprise-grade,尖端技术全方位满足企业级需求。,先端技術を、エンタープライズグレードの信頼で,엔터프라이즈급 혁신 기술,Une technologie de pointe adaptée aux entreprises,Modernste Technologie trifft auf Enterprise-Qualität,Soluzioni enterprise innovative,Tecnología de punta que se adapta a las empresas,A inovação chega às empresas
"Empower your organization's developers and engineers to build innovative new technologies, like machine learning to smart analytics.",能为您所在企业的开发人员和工程师提供全力支持，方便他们开发创新型新技术，如机器学习、智能分析等。,開発者とエンジニアには、機械学習やスマート分析など、新しい革新的なテクノロジーを構築するための機能が必要です。,귀사의 개발자와 엔지니어의 역량을 강화하여 머신 러닝부터 스마트 분석에 이르는 혁신적인 신기술을 구축하세요.,"Donnez aux développeurs et ingénieurs de votre entreprise les outils pour créer de nouvelles technologies novatrices, de l'apprentissage automatique aux analyses intelligentes.","Verleihen Sie den Entwicklern und Technikern in Ihrer Organisation die Fähigkeit, innovative neue Technologien zu entwickeln – vom maschinellen Lernen bis hin zur intelligenten Analytik.",Offri ai tuoi sviluppatori e ai tuoi ingegneri gli strumenti per integrare tecnologie innovative come machine learning e smart analytics.,"Capacite a los ingenieros y los desarrolladores de su empresa para que diseñen tecnologías innovadoras, como el aprendizaje automático para el análisis inteligente.","Capacite os desenvolvedores e engenheiros da sua organização para que eles possam criar tecnologias inovadoras, como o uso de aprendizado de máquina para análises inteligentes."
Red Hat Enterprise Linux 8 has key features―from container tools to GPU support―to deploy tomorrow's technology today.,红帽企业 Linux 8 可提供一些关键功能，从容器工具到 GPU 支持，到提前部署未来的技术。,Red Hat Enterprise Linux 8 には、コンテナツールから GPU のサポートまで、次世代のテクノロジーを今すぐデプロイするための主要な機能が搭載されています。,Red Hat Enterprise Linux 8은 컨테이너 툴부터 GPU 지원에 이르는 핵심 기능을 통해 미래의 기술을 한발 앞서 배포하도록 지원합니다.,"Le système d'exploitation Red Hat Enterprise Linux 8 offre les fonctions clés (outils de conteneurisation, prise en charge du processeur graphique, etc.) qui permettent de déployer aujourd'hui les technologies de demain.",Red Hat Enterprise Linux 8 verfügt über alle wichtigen Funktionen – von Container-Tools bis hin zum GPU-Support – mit denen Sie die Technologie von morgen schon heute einsetzen können.,"Dagli strumenti per container al supporto per GPU, Red Hat Enterprise Linux 8 integra le funzioni strategiche indispensabili per offrire oggi le tecnologie del futuro.",Red Hat Enterprise Linux 8 contiene las características esenciales (desde las herramientas de contenedor hasta la compatibilidad con unidades de procesamiento gráfico) para implementar hoy la tecnología del mañana.,"O Red Hat Enterprise Linux 8 fornece as principais funcionalidades, incluindo ferramentas de container e suporte para GPU, para que você possa implantar hoje a tecnologia do futuro."
Emerging tech starts here,新兴技术从这里开始,先進テクノロジーを生み出す,이머징 기술의 시작,La voie vers de nouvelles technologies,Neue Technologie beginnt hier. Mit uns.,L'innovazione inizia qui,La tecnología emergente comienza aquí,Tecnologia emergente começa aqui
Made for developers,专为开发人员而打造,開発者に寄り添った設計,개발자를 위한 설계,Conçu pour les développeurs,Gemacht für Entwickler,Realizzato per gli sviluppatori,Creado para los desarrolladores,Criado para desenvolvedores
The OS that lets you do what you want,让您“纵横四海”的操作系统,思い通りに扱える OS,최적화된 OS를 통해 최대화된 유연성,Un système d'exploitation flexible,Das Betriebssystem für individuelle Anforderungen,Il sistema operativo che ti consente di fare ciò che desideri.,El sistema operativo que le brinda libertad y eficiencia,Um único sistema operacional com inúmeras possibilidades
"Developers can choose from the most recent stable development languages, databases, tools, and container technologies on the latest hardware and cloud environments.",开发人员可以从最新的硬件和云环境中选择最近且稳定的开发语言、数据库、工具和容器技术。,開発者は、最新の安定した開発言語、データベース、ツール、コンテナテクノロジーから自分の好きなものを選び、最新のハードウェアとクラウド環境上で使用できます。,"개발자들은 최신 하드웨어와 클라우드 환경에서 안정적인 최신 개발 언어, 데이터베이스, 툴 및 컨테이너 기술을 선택할 수 있습니다.","Les développeurs peuvent choisir d'utiliser les langages de développement, bases de données, outils et technologies de conteneurs les plus récents et les plus stables sur le matériel et dans les environnements cloud les plus modernes.","Entwickler können aus neuesten stabilen Programmiersprachen, Datenbänken, Tools und Container-Technologien wählen, die auf aktuellen Hardware-Geräten und Cloud-Umgebungen ausgeführt werden.","Il ventaglio di scelta è ampio: linguaggi di sviluppo, database, strumenti e tecnologie per container innovativi, stabili ed eseguibili sugli hardware e negli ambienti di ultima generazione.","Los desarrolladores pueden elegir entre las tecnologías de contenedor, las herramientas, las bases de datos y los lenguajes de desarrollo estables más recientes en los últimos entornos de nube y hardware.","Os desenvolvedores podem escolher entre as linguagens de desenvolvimento, bancos de dados, ferramentas e tecnologias de container mais recentes e estáveis para uso em ambientes de cloud e hardware modernos."
Red Hat Enterprise Linux 8 is the OS that gives developers the freedom to focus on their code.,红帽企业 Linux 8 操作系统为开发人员带来了自由，确保他们可以专注于编写代码。,開発者がコーディングに専念できる OS。それが Red Hat Enterprise Linux 8 です。,Red Hat Enterprise Linux 8은 개발자들이 자유롭게 코딩에 집중할 수 있도록 돕는 OS입니다.,Red Hat Enterprise Linux 8 est un système d'exploitation qui donne aux développeurs la liberté de se concentrer sur leur code.,"Red Hat Enterprise Linux 8 ist das Betriebssystem, mit dem sich Ihre Entwickler in aller Ruhe auf den Code konzentrieren können.",Red Hat Enterprise Linux 8: finalmente il sistema operativo che consente agli sviluppatori di dedicarsi al codice.,Red Hat Enterprise Linux 8 es el sistema operativo que da a los desarrolladores la libertad de centrarse en su código.,O Red Hat Enterprise Linux 8 é o sistema operacional que oferece aos desenvolvedores a liberdade de priorizar o código.
See the details,了解详情,詳細はこちら,자세히 보기,Voir les détails du produit,Details anschauen,Visualizza i dettagli,Ver los detalles,Veja os detalhes
Engineered for operations,为业务运营而构建,運用に役立つ設計,오퍼레이션을 위한 기술,Conçu pour l'exploitation,Entwickelt für den Betrieb,Progettato per ottimizzare i processi,Diseñado para las operaciones,Projetado para operações
"Complete control, on and off the command line",完全控制，打开和关闭命令行,優れた制御性を、コマンドラインでもコンソールでも,명령줄 또는 웹콘솔로 전체 제어 가능,Un contrôle total pour tous les types d'utilisateurs,Das Steuer in Ihrer Hand – mit oder ohne Befehlszeile,Pieno controllo: dalla riga di comando alla console,Control total dentro y fuera de la línea de comandos,"Controle completo, com ou sem o uso da linha de comando"
"Application streams let you offer the app versions that developers want, independent of OS releases. And you can do it all from the command line.",通过应用流您可以为开发人员按需提供应用版本，同时保持操作系统发布的独立性。所有这些均可通过命令行实现。,OS のリリースにかかわらず、開発者が望むアプリケーションのバージョンを提供できるアプリケーション・ストリーム。その処理のすべてを、コマンドラインから実行できます。,애플리케이션 스트림은 OS 버전과 상관없이 개발자가 원하는 애플리케이션 버전을 제공하도록 지원합니다. 명령줄을 통해 이 모든 작업을 수행할 수 있습니다.,"Les flux d'applications vous permettent d'offrir les versions d'application que les développeurs réclament, quelle que soit la version du système d'exploitation. Et tout cela est possible depuis l'interface en ligne de commande.",Dank Application Streams können Sie Ihren Entwickler unabhängig vom OS-Release stets die gewünschten Anwendungen zur Verfügung stellen. Und zwar ganz einfach über die Befehlszeile.,"Grazie ai flussi delle applicazioni puoi offrire agli sviluppatori le versioni dell'app che preferiscono, a prescindere dalla release del sistema operativo, semplicemente dalla riga di comando.","Los flujos de aplicaciones le permiten ofrecer las versiones de aplicaciones que los desarrolladores desean, independientemente de las versiones del sistema operativo. Y puede hacerlo todo desde la línea de comandos.","Com o fluxo de aplicações, é possível oferecer as versões da aplicação que os desenvolvedores precisam, independentemente das versões do sistema operacional. E tudo isso pode ser feito a partir da linha de comando."
Admins who are new to Linux can use the user-friendly web console for administering machines anywhere―command line optional.,对 Linux 尚不熟悉的管理员可借助用户友好的 Web 控制台在任何地方（命令行可选）管理计算机。,Linux 経験の浅い管理者は、使いやすい Web コンソールを利用できます。コマンドラインを使わなくても、どこからでもマシンを管理できます。,Linux를 처음 사용하는 관리자는 사용자 친화적인 웹 콘솔을 통해 어디에서나 기기를 관리할 수 있고 명령줄 사용을 선택할 수도 있습니다.,"Via la console web facile à utiliser, les administrateurs qui découvrent Linux peuvent gérer les machines où qu'elles se trouvent, avec ou sans ligne de commande.","Administratoren, die Linux-Einsteiger sind, können Rechner entweder über die Befehlszeile oder die benutzerfreundliche Webkonsole verwalten – egal wo sie sich befinden.",Per gli amministratori che non hanno ancora familiarità con Linux la riga di comando è facoltativa. Potranno invece utilizzare l'intuitiva console web per gestire le macchine ovunque.,"Los administradores que no tiene experiencia en Linux pueden utilizar la consola web muy sencilla para administrar máquinas en cualquier lugar, con el uso opcional de la línea de comandos.","Os administradores com pouca experiência em Linux podem usar o console intuitivo da web  para administrar máquinas em qualquer ambiente, tornando o uso da linha de comando opcional."
Explore these features,了解这些功能,機能の詳細はこちら,기능 탐색하기,Découvrir ces fonctions,Mehr über diese Features erfahren,Scopri alcune funzionalità,Explore estas características,Explore as funcionalidades
Designed for any enterprise,专为适用不同企业类型而设计,あらゆる企業に対応,모든 기업을 위한 설계,Conçu pour les entreprises,Konzipiert für Unternehmen jeder Art,Adatto a tutte le aziende,Diseñado para cualquier empresa,A solução ideal para todas as empresas
We made our flagship to power yours,红帽标杆产品为您的旗舰产品赋能,お客様のビジネスを強化するための製品,기업의 역량 강화를 위한 플래그십,Ouvrez la voie de la réussite grâce à notre produit phare,Der neue Motor für Ihre Workloads,Più opportunità per la tua azienda,Desarrollamos nuestro mejor producto para empoderar el suyo,Fornecemos a base para o sucesso da sua empresa
The latest release of Red Hat's flagship product is engineered to help enterprises reach new horizons.,红帽最新旗舰产品给企业带来全新视角。,Red Hat の主力製品である Red Hat Enterprise Linux の最新リリースは、企業の成長を支援するために設計されています。,Red Hat 플래그십 제품의 최신 버전은 기업이 한층 더 발전할 수 있도록 설계되었습니다.,La dernière version du produit phare de Red Hat est conçue pour aider les entreprises à atteindre de nouveaux horizons.,"Das aktuelle Release des Hauptprodukts von Red Hat soll Organisationen helfen, neue Möglichkeiten zu erschließen.",Abbiamo migliorato il nostro prodotto di punta per aiutarti a raggiungere nuovi obiettivi.,La última versión del producto insignia de Red Hat está diseñado para que las empresas alcancen nuevos horizontes.,A versão mais recente da principal solução da Red Hat foi desenvolvida para ajudar empresas a alcançar novos horizontes.
Red Hat Enterprise Linux is integral to the worldwide economy. It's expected to contribute to $10 trillion of business revenues in 2019 alone. And it's growing. See the global impact―and how it affects your world―in this report from IDC.,红帽企业 Linux 是全球经济不可或缺的一部分。预计仅 2019 年所贡献的营业收入就达到了 10 万亿美元。而且这一数字还将持续增长。阅读 IDC 报告，了解红帽企业 Linux 是如何影响着世界。,世界経済とも密接な関係を持つようになった Red Hat Enterprise Linux は、2019 年だけで 10 兆ドルに上るビジネス収益への貢献が予測されており、この額は増大を続けています。Red Hat Enterprise Linux が世界にもたらすインパクトと、貴社のビジネスや業種に対する影響を、IDC によるレポートでご確認いただけます。,Red Hat Enterprise Linux가 세계 경제에 미치는 영향은 매우 큽니다. 2019년 한 해에만 10조 달러의 비즈니스 매출에 기여할 것으로 전망되며 이는 계속 증가하고 있습니다. Red Hat Enterprise Linux의 글로벌 임팩트와 해당 업계 미치는 영향을 IDC 리포트에서 살펴보세요.,"La solution Red Hat Enterprise Linux fait partie intégrante de l'économie mondiale. Elle devrait rapporter 10 000 milliards de dollars aux entreprises au cours de l'année 2019. Et son influence ne cesse de croître. Découvrez l'impact international de cette solution, ainsi que la manière dont elle influence votre secteur, en lisant ce rapport d'IDC.",Red Hat Enterprise Linux ist bereits integraler Bestandteil der Weltwirtschaft. Prognosen zufolge wird unser Betriebssystem allein im Jahr 2019 zu 10 Billionen USD an geschäftlichen Umsätzen beitragen. Und der Trend ist steigend. In diesem IDC-Bericht werden die globalen Auswirkungen von Red Hat Enterprise Linux beschrieben und wie sich diese in Ihrer Welt bemerkbar machen.,"Red Hat Enterprise Linux è parte integrante dell'economia mondiale. Si stima che possa contribuire agli utili aziendali per US$ 10 bilioni nel solo 2019, una cifra in costante crescita. Leggi il report di IDC per scoprire l'impatto del nuovo sistema a livello globale, e come influirà sul tuo business.","Red Hat Enterprise Linux es esencial para la economía mundial. Se espera que permita generar US$ 10 billones de ingresos empresariales solo en 2019, y sigue creciendo. Conozca su repercusión a nivel global, y cómo afecta su mundo, en este informe de IDC.","O Red Hat Enterprise Linux faz parte da economia global. Só em 2019, espera-se que ele seja responsável por gerar US$ 10 trilhões em receita comercial. E ele não para de crescer. Neste relatório da IDC, confira o impacto global da solução e como isto afeta seu mundo."
Get the report,获取报告,レポートを入手する,리포트 보기,Télécharger le rapport,Zum Bericht,Scarica il report,Obtener el informe,Leia o relatório